tweet_id,text,rating_numerator,rating_denominator,name,year,month,day,rating,dog_stage,jpg_url,dog_type,confidence_list,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url,rating_ratio
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,2017,8,1,13.0,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,28510.0,5193.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/aQFSeaCu9L,1.3
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,2017,7,31,12.0,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,21435.0,3427.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/r0YlrsGCgy,1.2
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,2017,7,30,13.0,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,0.168086,35977.0,7104.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/tD36da7qLQ,1.3
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,2017,7,29,12.0,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,34390.0,7620.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/0g0KMIVXZ3,1.2
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,2017,7,29,13.0,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595,17318.0,2553.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/xx5cilW0Dd,1.3
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,2017,7,28,13.0,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003,10100.0,1622.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/MV01Q820LT,1.3
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,2017,7,28,13.0,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,55491.0,15479.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/hrcFOGi12V,1.3
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,2017,7,27,13.0,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574,23882.0,3565.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/UkrdQyoYxV,1.3
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,2017,7,26,14.0,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,27239.0,6000.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/l3TSS3o2M0,1.4
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,2017,7,26,13.0,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,26346.0,6047.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/jy2alqaYPH,1.3
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,2017,7,25,13.0,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,0.377417,23901.0,4091.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/u1XPQMl29g,1.3
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10.0,None,2017,7,25,13.0,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327,40984.0,8204.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/BxvuXk0UCm,1.3
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10.0,Ted,2017,7,25,12.0,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,0.99165,23081.0,3659.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/f8dEDcrKSR,1.2
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,10.0,Stuart,2017,7,24,13.0,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,0.953442,13011.0,1855.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/Ya3bdfYuCx,1.3
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,2017,7,24,13.0,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152,21509.0,4375.0,9375309.0,20.0,Twitter for iPhone,Original tweet,https://t.co/qw5xRwBaIv,1.3
